127.0.0.1, 2011-12-25 16:57:35, GET, /, HTTP/1.1, 303, 0.003350
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.255274
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000915
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000841
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000885
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000832
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000957
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000910
127.0.0.1, 2011-12-25 16:57:35, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000852
127.0.0.1, 2011-12-25 16:57:36, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.001717
127.0.0.1, 2011-12-25 16:57:36, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.001885
127.0.0.1, 2011-12-25 16:57:36, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001281
127.0.0.1, 2011-12-25 16:57:36, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000886
127.0.0.1, 2011-12-25 16:59:25, GET, /, HTTP/1.1, 500, 0.321600
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/default/ticket/resume/127.0.0.1.2011-12-25.16-59-25.a4b733e7-1d62-453a-ba05-3023be451bb1, HTTP/1.1, 303, 0.210169
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/default/index, HTTP/1.1, 200, 0.039130
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001097
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000942
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.003075
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.006814
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000963
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001049
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.011771
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000959
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004140
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001020
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001504
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000920
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001021
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001060
127.0.0.1, 2011-12-25 16:59:27, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001064
127.0.0.1, 2011-12-25 16:59:30, POST, /admin/default/index, HTTP/1.1, 303, 0.037640
127.0.0.1, 2011-12-25 16:59:30, GET, /admin/default/ticket/resume/127.0.0.1.2011-12-25.16-59-25.a4b733e7-1d62-453a-ba05-3023be451bb1, HTTP/1.1, 200, 0.100643
127.0.0.1, 2011-12-25 16:59:30, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.001636
127.0.0.1, 2011-12-25 16:59:30, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001040
127.0.0.1, 2011-12-25 16:59:30, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000964
127.0.0.1, 2011-12-25 17:03:37, GET, /, HTTP/1.1, 500, 0.332463
127.0.0.1, 2011-12-25 17:03:39, GET, /admin/default/ticket/resume/127.0.0.1.2011-12-25.17-03-36.e5a774bf-33a9-4f5d-8ab6-2b455bfcee9a, HTTP/1.1, 200, 0.274786
127.0.0.1, 2011-12-25 17:05:13, GET, /, HTTP/1.1, 200, 0.254924
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/css/clickr/style.css, HTTP/1.1, 200, 0.001289
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/jquery-1.4.4.min.js, HTTP/1.1, 200, 0.001092
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/jquery.cycle.all.min.js, HTTP/1.1, 200, 0.001074
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/jquery.easing.min.js, HTTP/1.1, 200, 0.001043
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/css/dock.css, HTTP/1.1, 200, 0.001353
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/css/isotope.css, HTTP/1.1, 200, 0.001050
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/css/clickr/search-default.css, HTTP/1.1, 200, 0.001856
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/PT_Sans.font.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/custom.min.js, HTTP/1.1, 200, 0.001078
127.0.0.1, 2011-12-25 17:05:13, GET, /resume/static/js/clickr/cufon-yui.js, HTTP/1.1, 200, 0.003840
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/pattern.jpg, HTTP/1.1, 200, 0.001099
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/gitfork.png, HTTP/1.1, 200, 0.004343
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/middle_shade.png, HTTP/1.1, 200, 0.001606
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/top_curve.png, HTTP/1.1, 200, 0.004279
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/slide2.png, HTTP/1.1, 200, 0.004274
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/slide1.png, HTTP/1.1, 200, 0.001088
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/btn.jpg, HTTP/1.1, 200, 0.002369
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/slider_shadow.png, HTTP/1.1, 200, 0.001451
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/bottom_curve_arrow.png, HTTP/1.1, 200, 0.001063
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/slide3.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/css/images/dock-m.png, HTTP/1.1, 404, 0.000921
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/css/images/dock-l.png, HTTP/1.1, 404, 0.000925
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/css/images/dock-r.png, HTTP/1.1, 404, 0.000942
127.0.0.1, 2011-12-25 17:05:15, GET, /resume/static/images/clickr/pager.png, HTTP/1.1, 200, 0.001084
127.0.0.1, 2011-12-25 17:05:21, GET, /resume/static/favicon.ico, HTTP/1.1, 200, 0.000673
127.0.0.1, 2011-12-25 17:05:21, GET, /resume/default/user/login, HTTP/1.1, 200, 0.115102
